,Time,Area
0,0,242
1,1,241
2,2,274
3,3,258
4,4,250
5,5,243
6,6,237
7,7,273
8,8,234
9,9,248
10,10,254
11,11,244
12,12,245
13,13,243
14,14,228
15,15,244
16,16,236
17,17,267
18,18,240
19,19,247
20,20,249
21,21,244
22,22,247
23,23,260
24,24,254
25,25,252
26,26,248
27,27,255
28,28,246
29,29,231
30,30,251
31,31,254
32,32,252
33,33,249
34,34,246
35,35,243
36,36,260
37,37,240
38,38,241
39,39,250
40,40,248
41,41,264
42,42,263
43,43,251
44,44,250
45,45,245
46,46,252
47,47,237
48,48,256
49,49,264
50,50,237
51,51,246
52,52,256
53,53,249
54,54,243
55,55,238
56,56,238
57,57,254
58,58,258
59,59,241
60,60,236
61,61,239
62,62,252
63,63,254
64,64,260
65,65,243
66,66,256
67,67,264
68,68,231
69,69,246
70,70,266
71,71,243
72,72,240
73,73,232
74,74,244
75,75,237
76,76,226
77,77,231
78,78,264
79,79,248
80,80,243
81,81,244
82,82,232
83,83,382
84,84,238
85,85,251
86,86,244
87,87,341
88,88,232
89,89,248
90,90,233
91,91,224
92,92,247
93,93,238
94,94,237
95,95,253
96,96,237
97,97,233
98,98,249
99,99,247
100,100,250
101,101,249
102,102,256
103,103,234
104,104,245
105,105,245
106,106,247
107,107,227
108,108,252
109,109,244
110,110,222
111,111,246
112,112,253
113,113,247
114,114,233
115,115,249
116,116,239
117,117,237
118,118,243
119,119,234
120,120,229
121,121,251
122,122,234
123,123,230
124,124,519
125,125,410
126,126,215
127,127,250
128,128,243
129,129,241
130,130,245
131,131,247
132,132,248
133,133,247
134,134,236
135,135,236
136,136,259
137,137,232
138,138,260
139,139,255
140,140,217
141,141,238
142,142,248
143,143,239
144,144,245
145,145,428
146,146,231
147,147,257
148,148,235
149,149,236
150,150,230
151,151,242
152,152,239
153,153,243
154,154,235
155,155,232
156,156,235
157,157,241
158,158,223
159,159,254
160,160,241
161,161,225
162,162,243
163,163,235
164,164,239
165,165,240
166,166,246
167,167,236
168,168,221
169,169,245
170,170,231
171,171,228
172,172,239
173,173,241
174,174,262
175,175,228
176,176,230
177,177,229
178,178,234
179,179,231
180,180,239
181,181,231
182,182,237
183,183,230
184,184,235
185,185,227
186,186,222
187,187,235
188,188,237
189,189,248
190,190,245
191,191,236
192,192,233
193,193,224
194,194,233
195,195,234
196,196,229
197,197,240
198,198,231
199,199,244
200,200,232
201,201,195
202,202,235
203,203,233
204,204,237
205,205,254
206,206,227
207,207,238
208,208,229
209,209,237
210,210,235
211,211,244
212,212,222
213,213,234
214,214,241
215,215,239
216,216,227
217,217,237
218,218,237
219,219,246
220,220,249
221,221,232
222,222,240
223,223,240
224,224,246
225,225,237
226,226,232
227,227,235
228,228,386
229,229,484
230,230,520
231,231,561
232,232,514
233,233,233
234,234,222
235,235,249
236,236,235
237,237,246
238,238,246
239,239,256
240,240,229
241,241,191
242,242,280
243,243,219
244,244,239
245,245,243
246,246,246
247,247,244
248,248,255
249,249,248
250,250,263
251,251,242
252,252,214
253,253,256
254,254,239
255,255,239
256,256,248
257,257,258
258,258,256
259,259,248
260,260,252
261,261,237
262,262,228
263,263,237
264,264,242
265,265,231
266,266,237
267,267,230
268,268,230
269,269,250
270,270,236
271,271,236
272,272,221
273,273,246
274,274,238
275,275,231
276,276,249
277,277,227
278,278,254
279,279,249
280,280,226
281,281,251
282,282,239
283,283,215
284,284,231
285,285,221
286,286,237
287,287,240
288,288,235
289,289,233
290,290,249
291,291,236
292,292,243
293,293,226
294,294,230
295,295,230
296,296,209
297,297,212
298,298,234
299,299,224
300,300,229
301,301,226
302,302,224
303,303,232
304,304,236
305,305,227
306,306,231
307,307,235
308,308,258
309,309,239
310,310,235
311,311,234
312,312,232
313,313,227
314,314,230
315,315,237
316,316,237
317,317,230
318,318,246
319,319,229
320,320,246
321,321,232
322,322,247
323,323,393
324,324,242
325,325,249
326,326,228
327,327,230
328,328,251
329,329,233
330,330,237
331,331,219
332,332,225
333,333,238
334,334,235
335,335,221
336,336,249
337,337,342
338,338,238
339,339,246
340,340,248
341,341,258
342,342,238
343,343,242
344,344,257
345,345,245
346,346,234
347,347,232
348,348,237
349,349,233
350,350,247
351,351,243
352,352,236
353,353,236
354,354,248
355,355,518
356,356,216
357,357,245
358,358,221
359,359,239
360,360,223
361,361,225
362,362,239
363,363,235
364,364,248
365,365,219
366,366,244
367,367,232
368,368,223
369,369,240
370,370,240
371,371,248
372,372,248
373,373,239
374,374,232
375,375,239
376,376,228
377,377,225
378,378,241
379,379,245
380,380,244
381,381,224
382,382,224
383,383,221
384,384,232
385,385,256
386,386,261
387,387,233
388,388,232
389,389,252
390,390,241
391,391,256
392,392,233
393,393,227
394,394,229
395,395,232
396,396,239
397,397,230
398,398,232
399,399,257
400,400,237
401,401,246
402,402,232
403,403,256
404,404,238
405,405,219
406,406,214
407,407,259
408,408,252
409,409,239
410,410,239
411,411,256
412,412,236
413,413,247
414,414,233
415,415,251
416,416,231
417,417,237
418,418,267
419,419,248
420,420,249
421,421,268
422,422,255
423,423,233
424,424,231
425,425,225
426,426,237
427,427,240
428,428,236
429,429,216
430,430,244
431,431,234
432,432,248
433,433,252
434,434,233
435,435,229
436,436,239
437,437,251
438,438,239
439,439,228
440,440,232
441,441,246
442,442,231
443,443,239
444,444,237
445,445,239
446,446,218
447,447,277
448,448,272
449,449,373
450,450,399
451,451,462
452,452,428
453,453,419
454,454,406
455,455,339
456,456,339
457,457,378
458,458,331
459,459,254
460,460,286
461,461,292
462,462,232
463,463,242
464,464,233
465,465,234
466,466,232
467,467,247
468,468,218
469,469,253
470,470,267
471,471,234
472,472,240
473,473,227
474,474,265
475,475,248
476,476,225
477,477,260
478,478,233
479,479,241
480,480,229
481,481,223
482,482,233
483,483,233
484,484,227
485,485,237
486,486,244
487,487,240
488,488,240
489,489,238
490,490,237
491,491,242
492,492,223
493,493,227
494,494,245
495,495,256
496,496,235
497,497,248
498,498,235
499,499,262
500,500,240
501,501,241
502,502,229
503,503,222
504,504,252
505,505,243
506,506,244
507,507,226
508,508,245
509,509,228
510,510,232
511,511,244
512,512,232
513,513,231
514,514,225
515,515,248
516,516,236
517,517,251
518,518,247
519,519,226
520,520,240
521,521,230
522,522,247
523,523,242
524,524,239
525,525,217
526,526,237
527,527,233
528,528,240
529,529,245
530,530,236
531,531,270
532,532,231
533,533,233
534,534,242
535,535,246
536,536,246
537,537,251
538,538,251
539,539,236
540,540,237
541,541,236
542,542,242
543,543,244
544,544,257
545,545,238
546,546,242
547,547,258
548,548,226
549,549,247
550,550,233
551,551,243
552,552,223
553,553,216
554,554,234
555,555,252
556,556,234
557,557,259
558,558,234
559,559,231
560,560,250
561,561,228
562,562,239
563,563,243
564,564,243
565,565,236
566,566,224
567,567,248
568,568,231
569,569,242
570,570,242
571,571,225
572,572,244
573,573,226
574,574,234
575,575,253
576,576,220
577,577,248
578,578,229
579,579,222
580,580,230
581,581,231
582,582,211
583,583,244
584,584,245
585,585,258
586,586,247
587,587,216
588,588,232
589,589,241
590,590,209
591,591,244
592,592,235
593,593,230
594,594,236
595,595,244
596,596,231
597,597,234
598,598,240
599,599,237
600,600,256
601,601,268
602,602,212
603,603,301
604,604,309
605,605,242
606,606,322
607,607,334
608,608,229
609,609,226
610,610,258
611,611,243
612,612,350
613,613,365
614,614,241
615,615,248
616,616,250
617,617,222
618,618,234
619,619,243
620,620,248
621,621,227
622,622,226
623,623,227
624,624,251
625,625,224
626,626,234
627,627,223
628,628,373
629,629,222
630,630,286
631,631,232
632,632,247
633,633,250
634,634,234
635,635,238
636,636,228
637,637,229
638,638,254
639,639,238
640,640,240
641,641,236
642,642,259
643,643,254
644,644,218
645,645,239
646,646,249
647,647,224
648,648,235
649,649,284
650,650,231
651,651,242
652,652,220
653,653,263
654,654,260
655,655,279
656,656,361
657,657,402
658,658,388
659,659,304
660,660,255
661,661,231
662,662,237
663,663,266
664,664,235
665,665,235
666,666,247
667,667,225
668,668,249
669,669,254
670,670,237
671,671,236
672,672,241
673,673,230
674,674,246
675,675,239
676,676,229
677,677,253
678,678,228
679,679,246
680,680,233
681,681,230
682,682,247
683,683,234
684,684,230
685,685,227
686,686,252
687,687,243
688,688,238
689,689,241
690,690,233
691,691,243
692,692,240
693,693,238
694,694,235
695,695,254
696,696,254
697,697,232
698,698,255
699,699,216
700,700,230
701,701,254
702,702,227
703,703,233
704,704,258
705,705,238
706,706,231
707,707,259
708,708,240
709,709,242
710,710,238
711,711,236
712,712,243
713,713,240
714,714,257
715,715,235
716,716,245
717,717,234
718,718,259
719,719,223
720,720,236
721,721,231
722,722,250
723,723,246
724,724,232
725,725,225
726,726,233
727,727,221
728,728,251
729,729,253
730,730,230
731,731,240
732,732,229
733,733,243
734,734,233
735,735,232
736,736,232
737,737,238
738,738,245
739,739,256
740,740,266
741,741,240
742,742,242
743,743,235
744,744,223
745,745,239
746,746,250
747,747,227
748,748,233
749,749,221
750,750,237
751,751,242
752,752,231
753,753,233
754,754,219
755,755,242
756,756,250
757,757,245
758,758,229
759,759,238
760,760,226
761,761,246
762,762,235
763,763,247
764,764,277
765,765,240
766,766,234
767,767,246
768,768,240
769,769,255
770,770,245
771,771,238
772,772,246
773,773,224
774,774,259
775,775,254
776,776,241
777,777,231
778,778,244
779,779,257
780,780,249
781,781,232
782,782,231
783,783,239
784,784,242
785,785,230
786,786,269
787,787,232
788,788,243
789,789,235
790,790,247
791,791,236
792,792,228
793,793,259
794,794,240
795,795,241
796,796,215
797,797,228
798,798,249
799,799,262
800,800,246
801,801,228
802,802,238
803,803,239
804,804,222
805,805,235
806,806,252
807,807,213
808,808,236
809,809,235
810,810,237
811,811,231
812,812,253
813,813,242
814,814,258
815,815,233
816,816,239
817,817,249
818,818,227
819,819,252
820,820,228
821,821,255
822,822,243
823,823,242
824,824,221
825,825,262
826,826,245
827,827,242
828,828,213
829,829,264
830,830,242
831,831,230
832,832,222
833,833,246
834,834,241
835,835,239
836,836,231
837,837,239
838,838,241
839,839,254
840,840,227
841,841,247
842,842,261
843,843,251
844,844,232
845,845,227
846,846,253
847,847,227
848,848,230
849,849,252
850,850,252
851,851,228
852,852,229
853,853,230
854,854,232
855,855,230
856,856,231
857,857,238
858,858,250
859,859,229
860,860,246
861,861,227
862,862,250
863,863,222
864,864,242
865,865,237
866,866,243
867,867,246
868,868,244
869,869,240
870,870,233
871,871,234
872,872,242
873,873,243
874,874,234
875,875,239
876,876,226
877,877,223
878,878,248
879,879,249
880,880,251
881,881,215
882,882,233
883,883,248
884,884,231
885,885,243
886,886,257
887,887,238
888,888,253
889,889,265
890,890,254
891,891,223
892,892,234
893,893,247
894,894,237
895,895,253
896,896,231
897,897,246
898,898,261
899,899,251
900,900,250
901,901,222
902,902,255
903,903,208
904,904,243
905,905,236
906,906,255
907,907,230
908,908,223
909,909,243
910,910,240
911,911,253
912,912,249
913,913,240
914,914,245
915,915,241
916,916,237
917,917,259
918,918,255
919,919,242
920,920,228
921,921,295
922,922,223
923,923,228
924,924,236
