,Time,Area
0,0,89
1,1,86
2,2,87
3,3,87
4,4,89
5,5,89
6,6,89
7,7,89
8,8,88
9,9,89
10,10,88
11,11,89
12,12,89
13,13,90
14,14,88
15,15,90
16,16,89
17,17,90
18,18,89
19,19,89
20,20,90
21,21,89
22,22,88
23,23,90
24,24,90
25,25,88
26,26,90
27,27,90
28,28,89
29,29,89
30,30,88
31,31,88
32,32,89
33,33,90
34,34,90
35,35,91
36,36,90
37,37,90
38,38,90
39,39,89
40,40,89
41,41,90
42,42,90
43,43,90
44,44,90
45,45,89
46,46,89
47,47,91
48,48,89
49,49,90
50,50,91
51,51,90
52,52,90
53,53,91
54,54,90
55,55,91
56,56,90
57,57,91
58,58,91
59,59,91
60,60,91
61,61,90
62,62,90
63,63,90
64,64,88
65,65,89
66,66,89
67,67,89
68,68,91
69,69,91
70,70,89
71,71,91
72,72,90
73,73,91
74,74,89
75,75,91
76,76,90
77,77,93
78,78,88
79,79,88
80,80,90
81,81,87
82,82,88
83,83,88
84,84,87
85,85,89
86,86,90
87,87,93
88,88,92
89,89,92
90,90,92
91,91,94
92,92,92
93,93,92
94,94,95
95,95,93
96,96,95
97,97,95
98,98,95
99,99,94
100,100,93
101,101,95
102,102,88
103,103,264
104,104,96
105,105,94
106,106,244
107,107,243
108,108,339
109,109,267
110,110,244
111,111,203
112,112,253
113,113,309
114,114,264
115,115,216
116,116,269
117,117,213
118,118,212
119,119,211
120,120,291
121,121,305
122,122,210
123,123,293
124,124,242
125,125,248
126,126,205
127,127,282
128,128,244
129,129,215
130,130,149
131,131,364
132,132,327
133,133,207
134,134,213
135,135,214
136,136,219
137,137,209
138,138,205
139,139,216
140,140,224
141,141,245
142,142,267
143,143,219
144,144,214
145,145,212
146,146,249
147,147,221
148,148,219
149,149,277
150,150,266
151,151,272
152,152,269
153,153,276
154,154,209
155,155,255
156,156,268
157,157,270
158,158,252
159,159,189
160,160,310
161,161,297
162,162,224
163,163,216
164,164,265
165,165,209
166,166,226
167,167,218
168,168,226
169,169,211
170,170,261
171,171,279
172,172,286
173,173,264
174,174,285
175,175,227
176,176,252
177,177,318
178,178,291
179,179,260
180,180,275
181,181,318
182,182,273
183,183,276
184,184,266
185,185,267
186,186,248
187,187,304
188,188,219
189,189,246
190,190,276
191,191,269
192,192,284
193,193,273
194,194,220
195,195,272
196,196,283
197,197,127
198,198,270
199,199,272
200,200,279
201,201,265
202,202,265
203,203,276
204,204,284
205,205,230
206,206,225
207,207,274
208,208,267
209,209,283
210,210,213
211,211,260
212,212,118
213,213,1249
214,214,330
215,215,262
216,216,209
217,217,235
218,218,229
219,219,210
220,220,229
221,221,270
222,222,216
223,223,275
224,224,219
225,225,266
226,226,226
227,227,252
228,228,215
229,229,220
230,230,231
231,231,230
232,232,283
233,233,283
234,234,220
235,235,219
236,236,216
237,237,217
238,238,225
239,239,217
240,240,219
241,241,210
242,242,210
243,243,217
244,244,218
245,245,221
246,246,220
247,247,220
248,248,215
249,249,212
250,250,219
251,251,205
252,252,277
253,253,219
254,254,221
255,255,218
256,256,204
257,257,210
258,258,196
259,259,209
260,260,209
261,261,224
262,262,206
263,263,216
264,264,221
265,265,220
266,266,211
267,267,203
268,268,193
269,269,185
270,270,190
271,271,193
272,272,206
273,273,211
274,274,214
275,275,221
276,276,208
277,277,214
278,278,198
279,279,199
280,280,215
281,281,180
282,282,198
283,283,202
284,284,280
285,285,191
286,286,177
287,287,192
288,288,181
289,289,180
290,290,185
291,291,192
292,292,200
293,293,204
294,294,216
295,295,191
296,296,193
297,297,221
298,298,211
299,299,225
300,300,264
301,301,267
302,302,254
303,303,258
304,304,291
305,305,287
306,306,286
307,307,301
308,308,274
309,309,271
310,310,260
311,311,272
312,312,265
313,313,278
314,314,292
315,315,270
316,316,294
317,317,290
318,318,290
319,319,279
320,320,326
321,321,359
322,322,272
323,323,290
324,324,261
325,325,259
326,326,256
327,327,258
328,328,255
329,329,241
330,330,266
331,331,287
332,332,254
333,333,247
334,334,238
335,335,185
336,336,268
337,337,238
338,338,211
339,339,252
340,340,209
341,341,219
342,342,218
343,343,228
344,344,192
345,345,237
346,346,178
347,347,195
348,348,183
349,349,230
350,350,196
351,351,235
352,352,178
353,353,183
354,354,187
355,355,214
356,356,181
357,357,182
358,358,176
359,359,113
360,360,179
361,361,173
362,362,115
363,363,115
364,364,173
365,365,178
366,366,251
367,367,115
368,368,116
369,369,112
370,370,116
371,371,115
372,372,114
373,373,111
374,374,112
375,375,117
376,376,112
377,377,111
378,378,111
379,379,111
380,380,89
381,381,89
382,382,91
383,383,89
384,384,91
385,385,89
386,386,91
387,387,91
388,388,90
389,389,91
390,390,91
391,391,89
392,392,111
393,393,110
394,394,91
395,395,89
396,396,89
397,397,112
398,398,91
399,399,90
400,400,113
401,401,112
402,402,110
403,403,91
404,404,111
405,405,88
406,406,91
407,407,91
408,408,109
409,409,90
410,410,192
411,411,91
412,412,112
413,413,112
414,414,89
415,415,109
416,416,92
417,417,98
418,418,112
419,419,133
420,420,235
421,421,214
422,422,112
423,423,92
424,424,190
425,425,197
426,426,90
427,427,90
428,428,92
429,429,112
430,430,88
431,431,90
432,432,93
433,433,91
434,434,90
435,435,93
436,436,89
437,437,92
438,438,172
439,439,114
440,440,91
441,441,91
442,442,91
443,443,92
444,444,90
445,445,89
446,446,112
447,447,113
448,448,90
449,449,165
450,450,115
451,451,91
452,452,115
453,453,114
454,454,114
455,455,90
456,456,176
457,457,186
458,458,183
459,459,166
460,460,188
461,461,180
462,462,188
463,463,114
464,464,174
465,465,162
466,466,186
467,467,187
468,468,182
469,469,91
470,470,181
471,471,177
472,472,183
473,473,179
474,474,190
475,475,172
476,476,173
477,477,95
478,478,92
479,479,187
480,480,198
481,481,196
482,482,204
483,483,205
484,484,191
485,485,195
486,486,187
487,487,180
488,488,178
489,489,317
490,490,193
491,491,207
492,492,327
493,493,189
494,494,186
495,495,203
496,496,191
497,497,193
498,498,184
499,499,166
500,500,157
501,501,183
502,502,169
503,503,177
504,504,179
505,505,162
506,506,172
507,507,172
508,508,184
509,509,198
510,510,193
511,511,183
512,512,201
513,513,194
514,514,201
515,515,208
516,516,209
517,517,196
518,518,213
519,519,206
520,520,196
521,521,192
522,522,198
523,523,207
524,524,199
525,525,197
526,526,203
527,527,204
528,528,199
529,529,210
530,530,212
531,531,223
532,532,215
533,533,203
534,534,204
535,535,220
536,536,216
537,537,216
538,538,206
539,539,210
540,540,215
541,541,218
542,542,226
543,543,220
544,544,213
545,545,210
546,546,208
547,547,199
548,548,193
549,549,192
550,550,197
551,551,189
552,552,184
553,553,178
554,554,195
555,555,190
556,556,166
557,557,168
558,558,185
559,559,194
560,560,173
561,561,154
562,562,158
563,563,163
564,564,196
565,565,215
566,566,208
567,567,204
568,568,218
569,569,217
570,570,206
571,571,196
572,572,210
573,573,408
574,574,221
575,575,204
576,576,200
577,577,201
578,578,188
579,579,203
580,580,206
581,581,205
582,582,190
583,583,204
584,584,205
585,585,214
586,586,200
587,587,213
588,588,220
589,589,221
590,590,209
591,591,213
592,592,204
593,593,207
594,594,214
595,595,206
596,596,424
597,597,223
598,598,431
599,599,438
600,600,425
601,601,222
602,602,227
603,603,206
604,604,204
605,605,206
606,606,413
607,607,441
608,608,225
609,609,207
610,610,190
611,611,197
612,612,184
613,613,164
614,614,179
615,615,213
616,616,208
617,617,209
618,618,211
619,619,411
620,620,217
621,621,412
622,622,210
623,623,396
624,624,406
625,625,415
626,626,396
627,627,413
628,628,411
629,629,190
630,630,207
631,631,195
632,632,214
633,633,414
634,634,212
635,635,210
636,636,407
637,637,216
638,638,215
639,639,413
640,640,194
641,641,193
642,642,184
643,643,173
644,644,185
645,645,193
646,646,198
647,647,186
648,648,186
649,649,197
650,650,212
651,651,220
652,652,417
653,653,398
654,654,212
655,655,207
656,656,199
657,657,196
658,658,200
659,659,213
660,660,224
661,661,219
662,662,221
663,663,187
664,664,206
665,665,225
666,666,217
667,667,225
668,668,202
669,669,196
670,670,194
671,671,194
672,672,177
673,673,194
674,674,201
675,675,187
676,676,198
677,677,199
678,678,206
679,679,208
680,680,212
681,681,217
682,682,414
683,683,409
684,684,225
685,685,211
686,686,218
687,687,215
688,688,416
689,689,207
690,690,222
691,691,201
692,692,179
693,693,202
694,694,178
695,695,190
696,696,197
697,697,203
698,698,186
699,699,180
700,700,183
701,701,190
702,702,194
703,703,185
704,704,199
705,705,185
706,706,212
707,707,219
708,708,224
709,709,203
710,710,197
711,711,186
712,712,192
713,713,181
714,714,168
715,715,171
716,716,180
717,717,178
718,718,166
719,719,195
720,720,185
721,721,190
722,722,183
723,723,187
724,724,191
725,725,191
726,726,196
727,727,214
728,728,212
729,729,218
730,730,403
731,731,221
732,732,195
733,733,196
734,734,190
735,735,189
736,736,195
737,737,189
738,738,196
739,739,187
740,740,184
741,741,188
742,742,194
743,743,182
744,744,178
745,745,182
746,746,165
747,747,176
748,748,185
749,749,181
750,750,184
751,751,178
752,752,175
753,753,172
754,754,176
755,755,182
756,756,167
757,757,178
758,758,211
759,759,194
760,760,197
761,761,171
762,762,162
763,763,161
764,764,159
765,765,174
766,766,168
767,767,165
768,768,176
769,769,173
770,770,179
771,771,184
772,772,189
773,773,162
774,774,168
775,775,174
776,776,170
777,777,166
778,778,164
779,779,181
780,780,182
781,781,176
782,782,171
783,783,179
784,784,183
785,785,175
786,786,170
787,787,172
788,788,173
789,789,181
790,790,181
791,791,162
792,792,171
793,793,158
794,794,163
795,795,169
796,796,164
797,797,169
798,798,156
799,799,170
800,800,160
801,801,167
802,802,169
803,803,158
804,804,173
805,805,210
806,806,210
807,807,205
808,808,194
809,809,212
810,810,203
811,811,207
812,812,205
813,813,198
814,814,190
815,815,164
816,816,161
817,817,163
818,818,157
819,819,176
820,820,202
821,821,183
822,822,187
823,823,194
824,824,208
825,825,228
826,826,209
827,827,228
828,828,214
829,829,177
830,830,207
831,831,194
832,832,202
833,833,187
834,834,193
835,835,202
836,836,172
837,837,184
838,838,192
839,839,187
840,840,183
841,841,200
842,842,181
843,843,184
844,844,178
845,845,145
846,846,156
847,847,161
848,848,176
849,849,164
850,850,157
851,851,160
852,852,154
853,853,151
854,854,176
855,855,182
856,856,160
857,857,163
858,858,159
859,859,163
860,860,153
861,861,167
862,862,159
863,863,155
864,864,159
865,865,95
866,866,154
867,867,139
868,868,154
869,869,159
870,870,154
871,871,159
872,872,162
873,873,135
874,874,170
875,875,160
876,876,164
877,877,161
878,878,160
879,879,156
880,880,164
881,881,164
882,882,168
883,883,169
884,884,160
885,885,176
886,886,169
887,887,156
888,888,165
889,889,138
890,890,90
891,891,152
892,892,148
893,893,137
894,894,165
895,895,143
896,896,143
897,897,155
898,898,157
899,899,148
900,900,149
901,901,159
902,902,151
903,903,154
904,904,153
905,905,158
906,906,148
907,907,157
908,908,168
909,909,154
910,910,162
911,911,170
912,912,154
913,913,166
914,914,164
915,915,160
916,916,147
917,917,154
918,918,168
919,919,151
920,920,163
921,921,167
922,922,146
923,923,144
924,924,150
925,925,156
926,926,164
927,927,148
928,928,167
929,929,162
930,930,163
931,931,178
932,932,162
933,933,164
934,934,175
935,935,182
