,Time,Area
531,531,129
532,532,124
533,533,129
534,534,124
535,535,127
536,536,129
537,537,129
538,538,130
539,539,127
540,540,122
541,541,128
542,542,131
543,543,128
544,544,125
545,545,119
546,546,127
547,547,124
548,548,122
549,549,122
550,550,129
551,551,149
552,552,128
553,553,124
554,554,102
555,555,57
556,556,129
557,557,171
558,558,169
559,559,157
560,560,132
561,561,108
562,562,113
563,563,122
564,564,121
565,565,123
566,566,119
567,567,119
568,568,127
569,569,122
570,570,119
571,571,132
572,572,143
573,573,151
574,574,145
575,575,154
576,576,155
577,577,154
578,578,158
579,579,154
580,580,154
581,581,146
582,582,139
583,583,141
584,584,144
585,585,148
586,586,148
587,587,144
588,588,146
589,589,141
590,590,132
591,591,129
592,592,120
593,593,126
594,594,117
595,595,114
596,596,105
597,597,82
598,598,113
599,599,119
600,600,128
601,601,116
602,602,114
603,603,86
604,604,111
605,605,106
606,606,115
607,607,112
608,608,114
609,609,111
610,610,119
611,611,115
612,612,116
613,613,121
614,614,121
615,615,120
616,616,124
617,617,118
618,618,115
619,619,121
620,620,118
621,621,125
622,622,119
623,623,119
624,624,118
625,625,116
626,626,118
627,627,114
628,628,119
629,629,111
630,630,115
631,631,116
632,632,115
633,633,112
634,634,115
635,635,117
636,636,115
637,637,114
638,638,111
639,639,113
640,640,115
641,641,120
642,642,111
643,643,112
644,644,111
645,645,116
646,646,119
647,647,117
648,648,116
649,649,113
650,650,114
651,651,112
652,652,111
653,653,108
654,654,114
655,655,113
656,656,111
657,657,114
658,658,118
659,659,118
660,660,171
661,661,71
662,662,60
663,663,65
664,664,64
665,665,62
666,666,174
667,667,178
668,668,174
669,669,172
670,670,68
671,671,63
672,672,60
673,673,92
674,674,178
675,675,174
676,676,172
677,677,151
678,678,156
679,679,151
680,680,152
681,681,153
682,682,157
683,683,150
684,684,152
685,685,153
686,686,151
687,687,145
688,688,146
689,689,145
690,690,147
691,691,152
692,692,154
693,693,152
694,694,153
695,695,151
696,696,145
697,697,157
698,698,150
699,699,144
700,700,144
701,701,139
702,702,143
703,703,152
704,704,152
705,705,153
706,706,150
707,707,151
708,708,150
709,709,148
710,710,153
711,711,147
712,712,145
713,713,146
714,714,150
715,715,147
716,716,155
717,717,149
718,718,158
719,719,153
720,720,155
721,721,151
722,722,150
723,723,149
724,724,145
725,725,149
726,726,148
727,727,150
728,728,151
729,729,153
730,730,148
731,731,154
732,732,148
733,733,152
734,734,155
735,735,149
736,736,151
737,737,149
738,738,149
739,739,154
740,740,152
741,741,155
742,742,148
743,743,144
744,744,138
745,745,145
746,746,148
747,747,144
748,748,142
749,749,147
750,750,144
751,751,145
752,752,143
753,753,146
754,754,145
755,755,146
756,756,140
757,757,143
758,758,143
759,759,146
760,760,143
761,761,147
762,762,139
763,763,133
764,764,125
765,765,127
766,766,132
767,767,137
768,768,141
769,769,147
770,770,156
771,771,147
772,772,149
773,773,148
774,774,149
775,775,149
776,776,145
777,777,144
778,778,135
779,779,134
780,780,141
781,781,139
782,782,148
783,783,147
784,784,137
785,785,136
786,786,127
787,787,137
788,788,141
789,789,142
790,790,133
791,791,140
792,792,151
793,793,151
794,794,152
795,795,150
796,796,153
797,797,151
