,Time,Area
0,0,209
1,1,208
2,2,207
3,3,208
4,4,210
5,5,213
6,6,209
7,7,210
8,8,209
9,9,214
10,10,209
11,11,210
12,12,220
13,13,214
14,14,210
15,15,211
16,16,216
17,17,212
18,18,210
19,19,213
20,20,213
21,21,215
22,22,211
23,23,209
24,24,210
25,25,211
26,26,212
27,27,213
28,28,209
29,29,208
30,30,208
31,31,210
32,32,209
33,33,206
34,34,209
35,35,207
36,36,209
37,37,210
38,38,209
39,39,208
40,40,208
41,41,208
42,42,210
43,43,209
44,44,208
45,45,211
46,46,206
47,47,214
48,48,207
49,49,214
50,50,206
51,51,212
52,52,208
53,53,212
54,54,212
55,55,209
56,56,210
57,57,212
58,58,213
59,59,208
60,60,219
61,61,206
62,62,208
63,63,211
64,64,210
65,65,206
66,66,211
67,67,213
68,68,208
69,69,206
70,70,213
71,71,214
72,72,207
73,73,203
74,74,212
75,75,214
76,76,207
77,77,205
78,78,208
79,79,202
80,80,206
81,81,207
82,82,211
83,83,206
84,84,213
85,85,206
86,86,212
87,87,206
88,88,211
89,89,211
90,90,212
91,91,205
92,92,206
93,93,205
94,94,207
95,95,207
96,96,211
97,97,206
98,98,205
99,99,209
100,100,206
101,101,209
102,102,207
103,103,206
104,104,203
105,105,206
106,106,208
107,107,207
108,108,206
109,109,203
110,110,208
111,111,211
112,112,209
113,113,206
114,114,204
115,115,322
116,116,210
117,117,206
118,118,204
119,119,204
120,120,201
121,121,205
122,122,199
123,123,209
124,124,203
125,125,210
126,126,341
127,127,207
128,128,199
129,129,206
130,130,203
131,131,206
132,132,207
133,133,210
134,134,205
135,135,200
136,136,205
137,137,206
138,138,201
139,139,204
140,140,207
141,141,201
142,142,206
143,143,206
144,144,208
145,145,202
146,146,210
147,147,206
148,148,208
149,149,200
150,150,195
151,151,215
152,152,206
153,153,205
154,154,788
155,155,206
156,156,202
157,157,204
158,158,203
159,159,207
160,160,203
161,161,205
162,162,204
163,163,203
164,164,202
165,165,204
166,166,203
167,167,203
168,168,282
169,169,1310
170,170,205
171,171,203
172,172,204
173,173,207
174,174,204
175,175,515
176,176,200
177,177,203
178,178,200
179,179,205
180,180,202
181,181,203
182,182,205
183,183,201
184,184,209
185,185,200
186,186,202
187,187,202
188,188,207
189,189,200
190,190,201
191,191,204
192,192,199
193,193,203
194,194,198
195,195,197
196,196,196
197,197,199
198,198,203
199,199,203
200,200,201
201,201,204
202,202,203
203,203,201
204,204,202
205,205,198
206,206,201
207,207,200
208,208,200
209,209,200
210,210,200
211,211,198
212,212,200
213,213,201
214,214,202
215,215,200
216,216,203
217,217,205
218,218,200
219,219,203
220,220,199
221,221,219
222,222,206
223,223,199
224,224,208
225,225,204
226,226,196
227,227,201
228,228,205
229,229,201
230,230,205
231,231,208
232,232,204
233,233,201
234,234,207
235,235,217
236,236,203
237,237,200
238,238,207
239,239,199
240,240,205
241,241,203
242,242,199
243,243,200
244,244,196
245,245,203
246,246,199
247,247,204
248,248,202
249,249,200
250,250,212
251,251,206
252,252,202
253,253,201
254,254,199
255,255,195
256,256,203
257,257,200
258,258,200
259,259,203
260,260,199
261,261,198
262,262,197
263,263,197
264,264,202
265,265,206
266,266,193
267,267,210
268,268,379
269,269,1205
270,270,1098
271,271,1116
272,272,711
273,273,1012
274,274,1281
275,275,193
276,276,204
277,277,203
278,278,204
279,279,198
280,280,200
281,281,202
282,282,197
283,283,199
284,284,200
285,285,203
286,286,202
287,287,198
288,288,200
289,289,200
290,290,199
291,291,204
292,292,206
293,293,204
294,294,198
295,295,197
296,296,200
297,297,201
298,298,202
299,299,200
300,300,229
301,301,203
302,302,199
303,303,198
304,304,202
305,305,202
306,306,200
307,307,198
308,308,199
309,309,204
310,310,201
311,311,197
312,312,206
313,313,202
314,314,201
315,315,205
316,316,199
317,317,201
318,318,202
319,319,217
320,320,201
321,321,199
322,322,205
323,323,206
324,324,204
325,325,198
326,326,198
327,327,205
328,328,207
329,329,204
330,330,199
331,331,197
332,332,200
333,333,201
334,334,202
335,335,201
336,336,205
337,337,199
338,338,204
339,339,1113
340,340,201
341,341,200
342,342,199
343,343,205
344,344,200
345,345,202
346,346,202
347,347,199
348,348,202
349,349,200
350,350,201
351,351,201
352,352,195
353,353,202
354,354,200
355,355,201
356,356,204
357,357,198
358,358,206
359,359,196
360,360,199
361,361,200
362,362,198
363,363,1309
364,364,218
365,365,196
366,366,202
367,367,199
368,368,204
369,369,200
370,370,199
371,371,197
372,372,272
373,373,209
374,374,266
375,375,201
376,376,233
377,377,226
378,378,198
379,379,219
380,380,199
381,381,202
382,382,199
383,383,202
384,384,200
385,385,202
386,386,201
387,387,196
388,388,203
389,389,1255
390,390,171
391,391,199
392,392,199
393,393,203
394,394,199
395,395,200
396,396,198
397,397,199
398,398,200
399,399,452
400,400,222
401,401,198
402,402,203
403,403,200
404,404,201
405,405,205
406,406,199
407,407,199
408,408,198
409,409,199
410,410,203
411,411,202
412,412,201
413,413,200
414,414,206
415,415,197
416,416,198
417,417,195
418,418,201
419,419,200
420,420,201
421,421,199
422,422,199
423,423,203
424,424,205
425,425,200
426,426,195
427,427,207
428,428,201
429,429,205
430,430,200
431,431,203
432,432,202
433,433,203
434,434,197
435,435,200
436,436,200
437,437,200
438,438,202
439,439,198
440,440,205
441,441,206
442,442,196
443,443,200
444,444,202
445,445,205
446,446,199
447,447,199
448,448,199
449,449,203
450,450,200
451,451,200
452,452,196
453,453,201
454,454,199
455,455,204
456,456,201
457,457,202
458,458,198
459,459,204
460,460,197
461,461,201
462,462,200
463,463,198
464,464,197
465,465,202
466,466,201
467,467,203
468,468,204
469,469,198
470,470,199
471,471,199
472,472,199
473,473,202
474,474,200
475,475,204
476,476,210
477,477,207
478,478,206
479,479,201
480,480,205
481,481,205
482,482,198
483,483,200
484,484,198
485,485,202
486,486,199
487,487,204
488,488,200
489,489,200
490,490,197
491,491,199
492,492,200
493,493,199
494,494,199
495,495,202
496,496,200
497,497,202
498,498,202
499,499,202
500,500,200
501,501,200
502,502,200
503,503,200
504,504,201
505,505,202
506,506,200
507,507,208
508,508,207
509,509,202
510,510,199
511,511,206
512,512,199
513,513,204
514,514,201
515,515,198
516,516,202
517,517,201
518,518,200
519,519,203
520,520,200
521,521,200
522,522,199
523,523,200
524,524,203
525,525,201
526,526,203
527,527,201
528,528,204
529,529,203
